Feature_Set,Within,Between,SNR,Accuracy (%)
Body Ratios,1.6435665541045337,1.1263053019439124,1.3737330160557089,0.0
Gabor Features,,35458679130.46328,,0.0
Hu Moments,10.082185065284456,5.049641954829553,1.5078150166376252,0.0
Combined Features,,,,0.0
